Position,Artist Name,Song Name,Days,Top 10 (xTimes),Peak Position,Peak Position (xTimes),Peak Streams,Total Streams
2368,Nick Jonas ,Chains,128,0.0,41,0,207929,14804361
2369,Drake ,Jumbotron Shit Poppin,25,0.0,15,0,2146793,14800695
2370,Wiz Khalifa ,Pull Up,101,0.0,127,0,183559,14774165
2371,Black Eyed Peas ,GIRL LIKE ME,67,0.0,144,0,249071,14746377
2372,Chris Brown ,Back To Sleep,100,0.0,62,0,183283,14737284
2373,Gunna ,COOLER THAN A BITCH,48,1.0,8,0,944873,14725493
2374,Tyler The Creator ,Who Dat Boy,63,0.0,39,0,542961,14724096
2375,Lil Baby ,In A Minute,52,0.0,33,0,578465,14709917
2376,Ziv Zaifman ,A Million Dreams,57,0.0,71,0,329379,14702025
2377,Travis Scott ,WHO? WHAT!,33,0.0,15,0,1892011,14700828
2378,Brent Faiyaz ,Trust,56,0.0,71,0,375405,14700649
2379,Maroon 5,This Summer,84,0.0,26,0,302531,14676606
2380,Sean Paul ,Mad Love,53,0.0,80,0,353564,14650397
2381,Isaiah Firebrace ,It's Gotta Be You,72,0.0,98,0,241077,14648699
2382,Chris Lane ,Take Back Home Girl (Feat. Tori Kelly),66,0.0,94,0,313237,14648256
2383,Kanye West ,Violent Crimes,27,4.0,6,0,1751244,14645627
2384,Elvis Presley ,Here Comes Santa Claus (Right Down Santa Claus Lane),37,0.0,51,0,1200719,14637973
2385,Lil Skies ,I Know You,59,0.0,78,0,348741,14626679
2386,Beyoncé ,Drunk in Love,186,0.0,49,0,164202,14617225
2387,SZA ,Special,19,0.0,15,0,1513853,14613168
2388,Stunna 4 Vegas,Up The Smoke,58,0.0,122,0,317271,14610811
2389,Kanye West ,Believe What I Say,24,4.0,7,0,2016762,14576420
2390,Logic ,Contra,29,2.0,5,0,1443505,14564562
2391,Bebe Rexha ,No Broken Hearts,71,0.0,70,0,258550,14553944
2392,The Game ,Eazy,34,7.0,2,(x3),1156196,14532976
2393,Rita Ora ,Let You Love Me,52,0.0,72,0,402150,14518539
2394,Juice WRLD ,I Want It,29,0.0,13,0,2102215,14518462
2395,Avicii ,Heaven,36,0.0,12,0,930693,14510515
2396,Vedo ,You Got It,53,0.0,68,0,341141,14510021
2397,Cheat Codes ,Feels Great,57,0.0,74,0,334746,14509537
2398,Playboi Carti ,@ MEH,29,4.0,3,(x1),1484642,14485990
2399,Lil Wayne ,I Do It (ft. Big Sean Lil Baby),31,2.0,5,0,1170210,14475878
2400,Future ,Patek Water,46,0.0,16,0,772193,14474706
2401,Panic! At The Disco ,Victorious,107,0.0,53,0,228918,14454104
2402,Iggy Azalea ,Beg For It,119,0.0,31,0,184347,14443301
2403,Post Malone ,I Know,31,0.0,17,0,1456170,14420097
2404,Morgan Wallen ,Dangerous,48,0.0,22,0,675815,14410601
2405,Taylor Swift ,happiness,26,3.0,7,0,2543549,14385968
2406,PARTYNEXTDOOR ,Not Nice,100,0.0,111,0,195437,14363266
2407,MØ ,Nights With You,59,0.0,83,0,289530,14356435
2408,J. Cole ,For Whom The Bell Tolls,34,5.0,3,(x1),2007275,14337420
2409,Cardi B ,Best Life,35,0.0,18,0,818650,14332225
2410,Morgan Wallen ,Warning,42,1.0,7,0,890991,14303234
2411,DaBaby ,Lonely,46,0.0,33,0,619955,14297746
2412,The Weeknd ,Privilege,28,3.0,8,0,1726058,14248966
2413,Nause ,Dynamite,78,0.0,64,0,252948,14248284
2414,Taylor Swift ,I Bet You Think About Me,27,3.0,8,0,1450806,14247743
2415,AlunaGeorge ,You Know You Like It  DJ Snake Remix,44,0.0,11,0,404440,14242669
2416,Kanye West ,On God,20,6.0,3,(x1),2280967,14239082
2417,Lil Uzi Vert ,Bean (Kobe),35,3.0,3,(x2),1852364,14238015
2418,Dan + Shay ,From the Ground Up,108,0.0,114,0,171511,14230227
2419,Bad Bunny ,Un Verano Sin Ti,38,0.0,25,0,1098322,14220465
2420,Camila Cabello ,Havana  Remix,49,0.0,50,0,421572,14218798
2421,J. Cole ,a p p l y i n g . p r e s s u r e,21,3.0,4,0,3380786,14200416
2422,Little Big Town ,Girl Crush,126,0.0,58,0,159462,14192476
2423,Taylor Swift ,ivy,27,0.0,11,0,2189996,14173743
2424,Joyner Lucas ,Your Heart,40,0.0,15,0,759122,14155248
2425,DJ Khaled ,Wish Wish,42,0.0,32,0,730302,14154938
2426,DJ Snake ,A Different Way,59,0.0,69,0,367991,14153138
2427,Lil Baby ,California Breeze,37,1.0,6,0,1010484,14145607
2428,Disclosure ,Omen,87,0.0,35,0,266970,14112881
2429,Diplo ,Lonely,48,0.0,54,0,526059,14111633
2430,Ed Sheeran ,New Man,35,0.0,19,0,850458,14105169
2431,Labrinth ,I'm Tired,35,7.0,3,(x1),870481,14089005
2432,Drake ,Peak,22,0.0,17,0,2613077,14087664
2433,Taylor Swift ,Red (Taylor's Version),20,6.0,2,(x1),2440527,14055407
2434,A Boogie Wit da Hoodie ,Say A',56,0.0,51,0,476236,14029320
2435,PARTYNEXTDOOR ,Loyal,40,1.0,3,(x1),1246566,14020030
2436,Fall Out Boy ,Irresistible,86,0.0,57,0,220488,14019836
2437,iann dior ,gone girl,54,0.0,79,0,331787,14008972
2438,Dan + Shay ,All To Myself,62,0.0,126,0,278891,14007330
2439,Drake ,Is There More,21,0.0,14,0,2807246,13991386
2440,Drake ,Can't Have Everything,32,0.0,17,0,1348275,13976765
2441,Rihanna ,Desperado,97,0.0,53,0,237252,13962759
2442,Travis Scott ,HOUSTONFORNICATION,34,0.0,17,0,1662734,13955682
2443,Avicii ,The Nights,142,0.0,55,0,486562,13947934
2444,J. Cole ,Ville Mentality,35,4.0,5,0,1826024,13938894
2445,Ariana Grande ,off the table,30,3.0,4,0,2034529,13937245
2446,J. Cole ,1 0 0 . m i l ‘,21,2.0,5,0,3145378,13936818
2447,Drake ,More M’s,25,0.0,14,0,2201587,13933151
2448,Demi Lovato ,Met Him Last Night,35,0.0,12,0,838905,13932117
2449,Baby Keem ,trademark usa,56,0.0,36,0,610695,13912437
2450,Ariana Grande ,just like magic,31,1.0,6,0,1797853,13907566
2451,Kid Cudi ,Day 'N' Nite (Nightmare),61,0.0,115,0,300956,13893681
2452,Charlie Puth ,Done for Me,56,0.0,77,0,352870,13886260
2453,Møme ,Aloha,101,0.0,113,0,186011,13880878
2454,Eminem ,Normal,28,1.0,7,0,1546080,13869033
2455,Anuel AA ,Hasta Que Dios Diga,45,0.0,15,0,662294,13851610
2456,Taylor Swift ,All Too Well (Taylor's Version),21,6.0,3,(x2),2174122,13844058
2457,Sabrina Carpenter ,Why,67,0.0,99,0,248850,13836330
2458,Belly ,Might Not,108,0.0,133,0,151255,13796449
2459,Arcángel ,La Jumpa,27,0.0,14,0,859987,13778260
2460,Kehlani ,Gangsta,73,0.0,63,0,278688,13765705
2461,DaBaby ,PICK UP,44,1.0,7,0,1277267,13759452
2462,Taylor Swift ,epiphany,26,0.0,14,0,2062968,13738125
2463,Tyler The Creator ,JUGGERNAUT,28,3.0,5,0,1828352,13733001
2464,Lil Skies ,No Rest,53,0.0,103,0,336159,13732592
2465,J. Cole ,l e t . g o . m y . h a n d,21,2.0,8,0,2878288,13724909
2466,DJ Khaled ,Top Off,45,0.0,16,0,733993,13717753
2467,Polo G ,Distraction,43,0.0,31,0,718436,13716417
2468,JVKE ,this is what falling in love feels like,58,0.0,122,0,265545,13696202
2469,siouxxie sixxsta ,masquerade,53,0.0,75,0,301254,13691754
2470,Doja Cat ,Candy,46,0.0,56,0,380695,13689297
2471,Taylor Swift ,Miss Americana & The Heartbreak Prince,28,1.0,7,0,1696025,13685500
2472,Taylor Swift ,peace,26,0.0,15,0,1960966,13677337
2473,Post Malone ,I'm Gonna Be,39,0.0,26,0,669306,13674342
2474,Kendrick Lamar ,The Heart Part 4,30,1.0,7,0,1101827,13661289
2475,Tim McGraw ,Humble And Kind,112,0.0,149,0,138452,13655428
2476,Lil Uzi Vert ,444+222,43,1.0,7,0,1025561,13644506
2477,Gucci Mane ,Back On Road,75,0.0,53,0,317313,13632326
2478,Parker McCollum ,Pretty Heart,59,0.0,108,0,294865,13624667
2479,Kendrick Lamar ,Savior,21,0.0,12,0,2537597,13624131
2480,Sam Smith ,Money On My Mind,159,0.0,41,0,136215,13621005
2481,Lil Baby ,Out The Mud,42,0.0,41,0,470593,13601821
2482,Drake ,Race My Mind,22,0.0,16,0,2824297,13599000
2483,Gucci Mane ,Tone it Down,72,0.0,82,0,309927,13594677
2484,Liam Payne ,Familiar,52,0.0,51,0,515834,13591467
2485,P!nk ,Just Like Fire (From the Original Motion Picture Alice Through The Looking Glass),89,0.0,95,0,204727,13578152
2486,City Girls ,Twerk,53,0.0,110,0,307775,13571282
2487,Drake ,Treacherous Twins,20,0.0,12,0,2572205,13565098
2488,Demi Lovato ,I Love Me,35,0.0,27,0,958158,13558675
2489,J. Cole ,4 Your Eyez Only,38,2.0,9,0,1541243,13552561
2490,One Direction ,History,89,0.0,26,0,446221,13552345
2491,Galantis ,Heartbreak Anthem,60,0.0,94,0,356244,13529773
2492,Joji ,Run,32,1.0,7,0,1068088,13528538
2493,Shawn Mendes ,When You're Gone,36,3.0,3,(x1),860263,13466685
2494,Luke Bryan ,Knockin' Boots,59,0.0,143,0,262474,13458141
2495,Keith Urban, John 3:16,127,0.0,61,0,144374,13441800
2496,Logic ,Midnight,35,0.0,16,0,1118164,13440288
2497,Tyler Childers ,Feathered Indians,53,0.0,125,0,300970,13416178
2498,Maroon 5,Nobody's Love,42,0.0,43,0,661048,13415953
2499,FLETCHER ,Undrunk,44,0.0,60,0,427042,13403304
2500,Billie Eilish ,Bored,52,0.0,64,0,306733,13383835
2501,Ray Parker Jr. ,Ghostbusters,30,1.0,5,0,1658952,13381261
2502,A$AP Rocky ,Babushka Boi,37,0.0,13,0,874593,13380316
2503,Ed Sheeran ,What Do I Know?,35,0.0,17,0,853031,13367658
2504,A$AP Mob ,RAF,69,0.0,127,0,249820,13362506
2505,Lil Uzi Vert ,Yessirskiii,35,2.0,4,0,1578797,13327286
2506,Post Malone ,Jonestown (Interlude),28,0.0,19,0,1617747,13325158
2507,Ozuna ,Se Preparó,69,0.0,118,0,225133,13312784
2508,Future ,Patek,48,0.0,51,0,471302,13307573
2509,The Weeknd ,Attention,53,0.0,23,0,601849,13290074
2510,Brent Faiyaz ,Gravity,49,0.0,13,0,652658,13289954
2511,Rod Wave ,Tombstone,38,0.0,20,0,714304,13281240
2512,Huncho Jack ,Dubai Shit,41,1.0,10,0,962190,13276729
2513,PinkPantheress ,Just for me,50,0.0,55,0,347651,13262025
2514,DJ Khaled ,Just Us,35,0.0,31,0,756740,13255709
2515,Lauv ,There's No Way,49,0.0,78,0,372374,13210222
2516,SZA ,Power is Power,34,0.0,11,0,908830,13198889
2517,Kanye West ,Wouldn't Leave,21,4.0,4,0,1938367,13196382
2518,Alesso ,REMEDY,43,0.0,58,0,438762,13194535
2519,Nick Jonas ,Levels,89,0.0,53,0,229684,13190448
2520,Drake ,Forever,184,0.0,108,0,139824,13186754
2521,Luke Bryan ,One Margarita,55,0.0,93,0,342558,13184427
2522,XXXTENTACION ,I don’t even speak spanish lol,39,0.0,25,0,758257,13164180
2523,Post Malone ,Internet,28,0.0,14,0,1564402,13139202
2524,Chance the Rapper ,I Might Need Security,32,1.0,7,0,1212956,13106160
2525,Kanye West ,Selah,19,5.0,3,(x1),2483597,13100422
2526,Drake ,Middle of the Ocean,19,0.0,12,0,2451420,13077181
2527,Metro Boomin ,On Time,23,0.0,14,0,1175943,13067947
2528,Lil Uzi Vert ,I'm Sorry,21,2.0,7,0,2020732,13057882
2529,Jason Aldean ,Burnin' It Down,86,0.0,22,0,189070,13053725
2530,Gera MX ,Botella Tras Botella,49,0.0,53,0,370445,13035673
2531,Nicki Minaj ,Bed Of Lies,109,0.0,16,0,244376,13009051
2532,R. Kelly ,Ignition  Remix,117,0.0,91,0,203960,12986253
2533,Kodak Black ,There He Go,76,0.0,143,0,206120,12980165
2534,Bobby Boris Pickett & The Crypt,Kickers  Monster Mash,26,3.0,1,(x1),1521957,12978123
2535,Trippie Redd ,Who Needs Love,35,1.0,9,0,1003920,12974726
2536,Lil Pump ,Designer,48,0.0,41,0,502802,12965097
2537,Adele ,Can I Get It,22,6.0,4,0,1871604,12960295
2538,SZA ,Gone Girl,19,0.0,15,0,1654434,12943893
2539,Ty Dolla $ign ,Pineapple,43,0.0,58,0,426325,12941693
2540,Chance the Rapper ,Same Drugs,61,0.0,38,0,414845,12923262
2541,ZAYN ,Let Me,38,0.0,39,0,597473,12919067
2542,J. Cole ,FRIENDS,21,0.0,11,0,2383551,12915498
2543,Zac Brown Band ,Homegrown,133,0.0,63,0,150176,12890279
2544,ScHoolboy Q ,CHopstix,33,0.0,21,0,693314,12879453
2545,NF ,Lie,45,0.0,59,0,404845,12872218
2546,SHAED ,Trampoline,44,0.0,74,0,432469,12867071
2547,Kanye West ,FML,61,0.0,26,0,454132,12854136
2548,Lil Wayne ,Nothing but Trouble  Instagram Models,132,0.0,88,0,127288,12843024
2549,YUNGBLUD ,11 Minutes,35,0.0,40,0,694459,12809483
2550,Juice WRLD ,Maze,32,0.0,14,0,1056443,12792606
2551,Lauren Daigle ,You Say,54,0.0,115,0,296776,12786610
2552,Adele ,My Little Love,22,5.0,4,0,2013296,12785168
2553,Trey Songz ,Touchin Lovin,149,0.0,51,0,133296,12781075
2554,Trippie Redd ,Bust Down,66,0.0,119,0,273839,12777947
2555,SZA ,Notice Me,19,0.0,14,0,1721787,12760652
2556,Sam Smith ,Diamonds,48,0.0,17,0,679639,12757247
2557,Nicki Minaj ,Do We Have A Problem?,30,5.0,4,0,1014479,12748587
2558,Martin Garrix ,So Far Away,55,0.0,75,0,338248,12742819
2559,Chris Young ,Think of You,103,0.0,125,0,150030,12742094
2560,Drake ,Falling Back,16,5.0,1,(x1),3659656,12737515
2561,Pop Smoke ,Make It Rain,38,0.0,14,0,860997,12728195
2562,Ivan Cornejo ,J.,50,0.0,134,0,385932,12726687
2563,Travis Scott ,ASTROTHUNDER,28,0.0,14,0,1921967,12721909
2564,A Boogie Wit da Hoodie ,Undefeated,52,0.0,76,0,336540,12695431
2565,David Guetta ,Don't Leave Me Alone,48,0.0,65,0,396798,12686598
2566,SZA ,F2F,19,0.0,16,0,1574963,12681004
2567,Dreezy ,Body,96,0.0,128,0,160155,12673888
2568,Lil Uzi Vert ,Dark Queen,55,0.0,49,0,583583,12657609
2569,Drake ,Nothings Into Somethings,27,0.0,16,0,1383788,12650115
2570,Lady Gaga ,Million Reasons,64,0.0,25,0,463734,12648936
2571,Ariana Grande ,everytime,27,1.0,7,0,1175887,12648918
2572,J. Cole ,The Climb Back,32,1.0,1,(x1),1507441,12648864
2573,Drake ,You Only Live Twice,21,0.0,16,0,2856459,12631074
2574,DJ Khaled ,To the Max,34,0.0,15,0,791269,12618601
2575,Gryffin ,Tie Me Down,41,0.0,54,0,401746,12615453
2576,Lil Skies ,Havin My Way,56,0.0,117,0,380098,12612738
2577,Drake ,Change Locations,90,0.0,39,0,267881,12607167
2578,Migos ,Call Casting,51,0.0,18,0,586830,12593299
2579,Kanye West ,I Wonder,49,0.0,131,0,285015,12585475
2580,Hugh Jackman ,The Other Side,50,0.0,81,0,310523,12579182
2581,K CAMP ,Comfortable,118,0.0,88,0,137407,12566523
2582,Gucci Mane ,Both,57,0.0,103,0,276863,12564694
2583,Lauren Spencer Smith ,Flowers,36,0.0,13,0,566486,12553344
2584,DRAM ,Cash Machine,85,0.0,115,0,176200,12545543
2585,Taylor Swift ,long story short,25,0.0,13,0,2027828,12545334
2586,Kanye West ,Everything We Need,19,4.0,6,0,2164293,12536475
2587,SZA ,Open Arms,19,0.0,24,0,1349137,12523974
2588,Taylor Swift ,Cornelia Street,26,1.0,9,0,1554434,12523821
2589,DJ Snake ,Turn Down for What,160,0.0,32,0,133969,12523803
2590,Kendrick Lamar ,We Cry Together,16,2.0,7,0,3184449,12496748
2591,Moon Taxi ,Two High,64,0.0,100,0,237319,12486957
2592,The Weeknd ,Gasoline,24,4.0,2,(x1),1841998,12486527
2593,Travis Scott ,SKELETONS,27,1.0,10,0,2154341,12479382
2594,carolesdaughter ,Violent,50,0.0,50,0,380237,12475197
2595,Polo G ,Epidemic,44,0.0,21,0,679838,12442778
2596,The Kid LAROI ,ALWAYS DO,41,0.0,37,0,472818,12437345
2597,Kina ,Get You The Moon,55,0.0,138,0,267313,12418217
2598,Drake ,Faithful,64,0.0,47,0,409346,12401179
2599,Taylor Swift ,You All Over Me,28,1.0,2,(x1),1651215,12367853
2600,Twenty One Pilots ,Shy Away,40,0.0,34,0,665508,12366514
2601,Drake ,Glow,26,0.0,14,0,1428224,12363424
2602,Shordie Shordie ,Bitchuary,53,0.0,131,0,265697,12363017
2603,Taylor Swift ,London Boy,26,1.0,10,0,1523168,12360902
2604,Chris Young ,Losing Sleep,63,0.0,158,0,220462,12296390
2605,Luke Combs ,Even Though I'm Leaving,45,0.0,42,0,514499,12294248
2606,Kendrick Lamar ,Worldwide Steppers,15,2.0,4,0,3682729,12283698
2607,Machine Gun Kelly ,RAP DEVIL,35,0.0,36,0,594429,12257806
2608,G,Eazy  Drifting,85,0.0,36,0,272520,12256463
2609,Iggy Azalea ,Team,55,0.0,50,0,303326,12250469
2610,Lil Eazzyy ,Onna Come Up,52,0.0,90,0,278017,12244412
2611,Matt Maltese ,As the World Caves In,48,0.0,59,0,347444,12239415
2612,Michael Bublé ,White Christmas (duet with Shania Twain),77,0.0,19,0,503808,12237338
2613,Doja Cat ,I Don't Do Drugs,35,0.0,23,0,1087283,12234252
2614,Kiiara ,Whippin,44,0.0,75,0,338470,12224125
2615,Myke Towers ,Bandido,50,0.0,88,0,285826,12218208
2616,Chris Young ,Famous Friends,50,0.0,101,0,286445,12204162
2617,Tyler The Creator ,RUNNING OUT OF TIME,27,1.0,4,0,1619002,12196650
2618,OneRepublic ,Connection,49,0.0,75,0,358752,12191153
2619,Lil Nas X ,SCOOP,31,2.0,7,0,1396342,12190595
2620,DJ Khaled ,How Many Times,119,0.0,89,0,119957,12178744
2621,A$AP Rocky ,L$D,92,2.0,7,0,437434,12151293
2622,My Chemical Romance ,Teenagers,50,0.0,73,0,301846,12137074
2623,Young Thug ,Hop Off A Jet,38,0.0,34,0,651433,12104162
2624,Blake Shelton ,Sangria,118,0.0,76,0,132627,12099217
2625,Florida Georgia Line ,Dirt,133,0.0,27,0,160820,12096181
2626,K CAMP ,Lottery,45,0.0,79,0,378856,12091137
2627,Kanye West ,Stronger,105,0.0,111,0,225688,12088519
2628,Nicky Jam ,X  Remix,44,0.0,77,0,357633,12073062
2629,Tinashe ,2 On,123,0.0,37,0,155958,12071970
2630,Ed Sheeran ,How Would You Feel (Paean),38,0.0,27,0,668844,12064776
2631,iLoveMemphis ,Hit the Quan  Original Version,89,0.0,57,0,196076,12064583
2632,A$AP Rocky ,A$AP Forever,36,0.0,33,0,710482,12047660
2633,J. Cole ,Foldin Clothes,28,1.0,8,0,1566712,12020516
2634,Morgan Wallen ,One Thing At A Time,25,1.0,7,0,1369845,12019234
2635,Avicii ,The Days,110,0.0,22,0,366596,12013236
2636,Hozier ,Almost (Sweet Music),42,0.0,75,0,427815,12008673
2637,Justin Bieber ,Life Is Worth Living,62,0.0,22,0,457670,12000970
2638,Daya ,New,51,0.0,85,0,283655,11998637
2639,Migos ,Gang Gang,38,0.0,21,0,873398,11989994
2640,J. Cole ,Once an Addict  Interlude,20,0.0,12,0,2351956,11988528
2641,6LACK,Pretty Little Fears,46,0.0,29,0,654491,11967652
2642,The Weeknd ,Scared To Live,24,4.0,5,0,2004568,11965171
2643,Marshmello ,Bye Bye,24,4.0,3,(x1),1125270,11961354
2644,Drake ,Keep The Family Close,57,0.0,33,0,466453,11959579
2645,Old Dominion ,No Such Thing as a Broken Heart,67,0.0,145,0,233763,11955802
2646,Bruno Mars ,Versace on the Floor,71,0.0,64,0,285600,11943547
2647,Future ,Jersey,88,0.0,42,0,255268,11922706
2648,Kanye West ,Gold Digger,118,0.0,77,0,190327,11921565
2649,Who Is Fancy ,Boys Like You,100,0.0,92,0,146967,11909051
2650,SleazyWorld Go ,Sleazy Flow,44,0.0,99,0,338726,11899887
2651,Mustard ,Don't Hurt Me,85,0.0,127,0,168143,11891888
2652,Little Mix ,Shout Out to My Ex,46,0.0,38,0,391236,11884778
2653,The Weeknd ,Hardest To Love,24,4.0,6,0,1962780,11884736
2654,Idina Menzel ,Baby It's Cold Outside (duet with Michael Bublé),32,0.0,67,0,865938,11875415
2655,Kanye West ,Use This Gospel,19,5.0,7,0,1756142,11872806
2656,One Direction ,Infinity,69,1.0,7,0,504569,11862952
2657,Childish Gambino ,Feels Like Summer,35,0.0,46,0,572525,11824595
2658,Jason Aldean ,Got What I Got,52,0.0,93,0,294513,11815864
2659,J. Cole ,t h e . c l i m b . b a c k,21,1.0,10,0,2371417,11815552
2660,Taylor Swift ,Call It What You Want,35,0.0,12,0,875328,11810341
2661,Baby Keem ,range brothers,35,0.0,11,0,1020263,11802330
2662,Eric Bellinger ,Valet,81,0.0,108,0,166281,11798671
2663,Drake ,Started From the Bottom,171,0.0,122,0,149538,11780231
2664,Kris Kross Amsterdam ,Whenever,41,0.0,65,0,391510,11779292
2665,Adele ,I Drink Wine,21,5.0,5,0,1774866,11769515
2666,Kevin Gates ,Time for That,77,0.0,129,0,173342,11762268
2667,ILLENIUM ,Good Things Fall Apart,45,0.0,83,0,329277,11758923
2668,Eminem ,Stepping Stone,23,0.0,12,0,1400853,11757084
2669,Kanye West ,Jonah,18,3.0,8,0,2017928,11750141
2670,Lil Uzi Vert ,Celebration Station,21,0.0,11,0,1731885,11748014
2671,Young Greatness ,Moolah,79,0.0,103,0,183444,11733222
2672,Darius Rucker ,Wagon Wheel,51,0.0,67,0,342531,11715377
2673,Cardi B ,Bickenhead,26,0.0,18,0,818951,11713224
2674,T.I. ,About the Money,145,0.0,63,0,101283,11710257
2675,Halsey ,Hold Me Down,112,0.0,63,0,168408,11707421
2676,Kendrick Lamar ,Purple Hearts,16,2.0,9,0,2947720,11706585
2677,Smokepurpp ,123,46,0.0,102,0,300463,11705800
2678,Florida Georgia Line ,Confession,97,0.0,133,0,144926,11705385
2679,Beyoncé ,Partition,150,0.0,49,0,116499,11702948
2680,Drake ,Ratchet Happy Birthday,20,0.0,22,0,2056097,11685762
2681,Katy Perry ,Roar,165,0.0,40,0,153012,11658073
2682,G,Eazy  Random,88,0.0,37,0,271428,11655599
2683,G,Eazy  Sober,37,0.0,50,0,459201,11646598
2684,Nicki Minaj ,Familia,40,0.0,71,0,447559,11646004
2685,Drake ,Lose You,26,0.0,18,0,1314218,11645849
2686,Dae Dae ,Wat U Mean ,78,0.0,110,0,189960,11632510
2687,Trippie Redd ,Dark Knight Dummo,47,0.0,61,0,482964,11629877
2688,Cardi B ,Hot Shit,28,1.0,6,0,1142693,11621759
2689,Lil Uzi Vert ,Venetia,21,0.0,13,0,1439398,11599839
2690,Takeoff ,Last Memory,34,0.0,30,0,715717,11589691
2691,Taylor Swift ,coney island,20,1.0,9,0,2238456,11583987
2692,Drake ,Weston Road Flows,54,0.0,37,0,458913,11577129
2693,Rae Sremmurd ,CLOSE,36,0.0,37,0,728479,11572520
2694,Gunna ,SKYBOX,37,0.0,44,0,618672,11559505
2695,Drake ,Yebba’s Heartbreak,18,0.0,15,0,2889606,11558654
2696,Quavo ,PASS OUT,23,2.0,3,(x1),1518689,11547341
2697,Coldplay ,Yellow,58,0.0,87,0,246000,11532272
2698,J. Cole ,p u n c h i n ‘ . t h e . c l o c k,16,1.0,7,0,3077661,11511002
2699,Ty Dolla $ign ,Campaign,86,0.0,111,0,178682,11500416
2700,Major Lazer ,Trigger,34,0.0,32,0,720829,11495644
2701,Logic ,Overnight,28,1.0,7,0,1322939,11464016
2702,NextYoungin ,3 Musketeers,46,0.0,98,0,316285,11456125
2703,Sarah Cothran ,As the World Caves In,49,0.0,115,0,263058,11449911
2704,Panic! At The Disco ,Say Amen (Saturday Night),39,0.0,27,0,655514,11447718
2705,Russ ,HANDSOMER (Remix) (Feat. Ktlyn),39,0.0,34,0,456019,11443793
2706,24kGoldn,Company,48,0.0,105,0,281161,11428680
2707,Tove Lo ,Stay High  Habits Remix,61,0.0,15,0,242496,11427797
2708,Robin Schulz ,Headlights,93,0.0,54,0,177990,11422810
2709,YoungBoy Never Broke Again ,Hot Now,46,0.0,75,0,346852,11407896
2710,Tyga ,Freaky Deaky,35,1.0,9,0,621383,11406306
2711,Miley Cyrus ,Heart Of Glass (Live from the iHeart Music Festival),41,0.0,20,0,556592,11398407
2712,Benson Boone ,GHOST TOWN,41,0.0,54,0,352730,11397901
2713,Post Malone ,Im Gonna Be,10,0.0,11,0,1975607,11379920
2714,Kylie Minogue ,Santa Baby,30,0.0,44,0,1013360,11379290
2715,Big Shaq ,Man's Not Hot,49,0.0,84,0,318934,11375957
2716,21 Savage,Rap Saved Me,35,0.0,13,0,795669,11371035
2717,4*TOWN (From Disney and Pixar’s Turning Red),Nobody Like U,40,0.0,39,0,371017,11358002
2718,Ariana Grande ,Be Alright,71,0.0,64,0,255625,11320357
2719,Maluma ,HP,46,0.0,111,0,306739,11307882
2720,Labrinth ,Formula,44,0.0,84,0,314885,11307345
2721,Young Thug ,Hercules,88,0.0,101,0,165513,11305167
2722,Major Lazer ,Powerful,90,0.0,54,0,206186,11303111
2723,Drake ,All Me,151,0.0,109,0,221766,11285570
2724,Taylor Swift ,evermore,21,0.0,12,0,2090498,11277665
2725,Why Don't We ,I Don't Belong In This Club,42,0.0,86,0,333782,11228843
2726,Taylor Swift ,dorothea,19,1.0,10,0,2228502,11209994
2727,BTS ,Black Swan,30,0.0,46,0,795939,11206182
2728,SZA ,Smoking on my Ex Pack,18,0.0,17,0,1550958,11200596
2729,The Backseat Lovers ,Kilby Girl,49,0.0,148,0,252481,11177633
2730,ROSALÍA ,Yo x Ti Tu x Mi,44,0.0,87,0,355202,11175791
2731,Harry Styles ,Cherry,27,1.0,7,0,1341982,11170808
2732,Gunna ,thought i was playing,28,0.0,17,0,1042226,11157150
2733,Machine Gun Kelly ,Trap Paris,57,0.0,104,0,246836,11129223
2734,Future ,712PM,27,5.0,4,0,1618757,11128834
2735,Drake ,Plastic Bag,73,0.0,30,0,296509,11122656
2736,Lil Wayne ,Famous,21,0.0,12,0,1927800,11083175
2737,Kay Starr ,The Man with the Bag,26,0.0,52,0,912274,11071911
2738,Bo Burnham ,Look Who’s Inside Again,44,0.0,75,0,378630,11070508
2739,G,Eazy  Let's Get Lost,100,0.0,124,0,131327,11060240
2740,Camila Cabello ,Easy,35,0.0,37,0,531625,11047820
2741,Lil Uzi Vert ,Bigger Than Life,20,0.0,12,0,1689793,11046510
2742,XXXTENTACION ,infinity (888),30,0.0,24,0,837172,11041478
2743,Taylor Swift ,hoax,21,0.0,16,0,1748780,11023937
2744,Shawn Hook ,Reminding Me,56,0.0,107,0,238288,11021570
2745,The Weeknd ,Alone Again,21,3.0,2,(x1),2284779,11019791
2746,Brett Eldredge ,Drunk On Your Love,89,0.0,120,0,150056,11012219
2747,Ariana Grande ,safety net,26,1.0,8,0,1579290,11006674
2748,Chris Rea ,Driving Home for Christmas  2019 Remaster,30,0.0,52,0,960464,11004260
2749,Queen ,Under Pressure  Remastered,47,0.0,11,0,483828,10988416
2750,NLE Choppa ,Famous Hoes,41,0.0,94,0,387550,10979047
2751,Lorde ,Royals,143,0.0,77,0,184669,10969460
2752,The Weeknd ,Prisoner,63,0.0,17,0,403538,10966513
2753,Macklemore ,Marmalade,47,0.0,63,0,314247,10936577
